melhor_dist;T_max;T_0;N;num_pontos;execution_time
5254.312870764659;11.5;0.001;1000;10;0.0
5307.338499452714;12.0;0.001;1000;10;0.0
5098.59465148122;12.5;0.001;1000;10;0.0
5333.825221974465;13.0;0.001;1000;10;0.0
5333.825221974465;13.5;0.001;1000;10;0.0
5237.4615333721;14.0;0.001;1000;10;0.0
5333.825221974465;14.5;0.001;1000;10;0.0
5333.825221974465;15.0;0.001;1000;10;0.0
5315.137220938745;15.5;0.001;1000;10;0.0
5333.825221974465;16.0;0.001;1000;10;1030.8
5256.9401504621665;16.5;0.001;1000;10;0.0
5333.825221974465;17.0;0.001;1000;10;0.0
5329.762097225992;17.5;0.001;1000;10;0.0
5333.825221974465;18.0;0.001;1000;10;0.0
5333.825221974465;18.5;0.001;1000;10;0.0
5266.511198840401;19.0;0.001;1000;10;0.0
5333.825221974465;19.5;0.001;1000;10;0.0
5333.825221974465;20.0;0.001;1000;10;0.0
5328.069211242358;20.5;0.001;1000;10;0.0
5333.825221974465;21.0;0.001;1000;10;0.0
5321.682612058836;21.5;0.001;1000;10;0.0
5333.825221974465;22.0;0.001;1000;10;0.0
5220.183816860367;22.5;0.001;1000;10;0.0
5315.194506402824;23.0;0.001;1000;10;0.0
5333.825221974465;23.5;0.001;1000;10;0.0
5260.784568161151;24.0;0.001;1000;10;0.0
5318.09967982806;24.5;0.001;1000;10;0.0
5249.106310938059;25.0;0.001;1000;10;0.0
5224.840231094752;25.5;0.001;1000;10;0.0
5333.825221974465;26.0;0.001;1000;10;0.0
5279.585044644456;26.5;0.001;1000;10;0.0
5333.825221974465;27.0;0.001;1000;10;0.0
5333.825221974465;27.5;0.001;1000;10;0.0
5329.490147275176;28.0;0.001;1000;10;0.0
5289.7105939278;28.5;0.001;1000;10;0.0
5333.825221974465;29.0;0.001;1000;10;0.0
5333.825221974465;29.5;0.001;1000;10;0.0
5274.174848567738;30.0;0.001;1000;10;0.0
5303.301547146408;30.5;0.001;1000;10;0.0
5303.914972074872;31.0;0.001;1000;10;0.0
5333.825221974465;31.5;0.001;1000;10;0.0
5333.825221974465;32.0;0.001;1000;10;0.0
5297.41720564487;32.5;0.001;1000;10;0.0
5327.762638795305;33.0;0.001;1000;10;0.0
5333.825221974465;33.5;0.001;1000;10;0.0
5305.832074439811;34.0;0.001;1000;10;0.0
5323.280110955657;34.5;0.001;1000;10;0.0
5322.633013852216;35.0;0.001;1000;10;0.0
5250.265735964439;35.5;0.001;1000;10;0.0
5333.825221974465;36.0;0.001;1000;10;0.0
5282.683418011367;36.5;0.001;1000;10;0.0
5323.280110955657;37.0;0.001;1000;10;0.0
5333.825221974465;37.5;0.001;1000;10;0.0
5333.825221974465;38.0;0.001;1000;10;0.0
5333.825221974465;38.5;0.001;1000;10;0.0
5318.855360616418;39.0;0.001;1000;10;0.0
5333.825221974465;39.5;0.001;1000;10;0.0
5310.619162088188;40.0;0.001;1000;10;0.0
5109.35811805295;40.5;0.001;1000;10;0.0
5333.825221974465;41.0;0.001;1000;10;0.0
5305.028078158957;41.5;0.001;1000;10;0.0
5333.825221974465;42.0;0.001;1000;10;0.0
5333.825221974465;42.5;0.001;1000;10;0.0
5181.2795685784395;43.0;0.001;1000;10;0.0
5317.099280927882;43.5;0.001;1000;10;0.0
5331.957726153217;44.0;0.001;1000;10;0.0
5253.129311191889;44.5;0.001;1000;10;0.0
5333.825221974465;45.0;0.001;1000;10;0.0
5321.374332104972;45.5;0.001;1000;10;0.0
5310.619162088188;46.0;0.001;1000;10;0.0
5333.825221974465;46.5;0.001;1000;10;0.0
5333.825221974465;47.0;0.001;1000;10;0.0
5320.588021156285;47.5;0.001;1000;10;0.0
5299.970765402901;48.0;0.001;1000;10;0.0
5333.825221974465;48.5;0.001;1000;10;0.0
5333.825221974465;49.0;0.001;1000;10;0.0
5324.316932538105;49.5;0.001;1000;10;0.0
5168.185173227377;50.0;0.001;1000;10;0.0
5171.361090266871;10.0;0.002;1000;10;0.0
5244.979232720157;10.0;0.003;1000;10;0.0
5263.0896502624655;10.0;0.004;1000;10;0.0
5319.19223383626;10.0;0.005;1000;10;0.0
5241.469797552192;10.0;0.006;1000;10;0.0
5333.425930136421;10.0;0.007;1000;10;0.0
5297.4721014872575;10.0;0.008;1000;10;0.0
5235.464585426106;10.0;0.009000000000000001;1000;10;341.8
5333.825221974465;10.0;0.010000000000000002;1000;10;0.0
5325.191949797286;10.0;0.011000000000000003;1000;10;0.0
5306.060633997916;10.0;0.012000000000000004;1000;10;0.0
5329.917201983651;10.0;0.013000000000000005;1000;10;0.0
5320.64411853283;10.0;0.014000000000000005;1000;10;0.0
5286.518102978045;10.0;0.015000000000000006;1000;10;0.0
5333.825221974465;10.0;0.016000000000000007;1000;10;0.0
5313.450447232138;10.0;0.017000000000000008;1000;10;0.0
5333.825221974465;10.0;0.01800000000000001;1000;10;0.0
5333.825221974465;10.0;0.01900000000000001;1000;10;0.0
5333.825221974465;10.0;0.02000000000000001;1000;10;0.0
5324.344239859666;10.0;0.02100000000000001;1000;10;0.0
5333.825221974465;10.0;0.022000000000000013;1000;10;0.0
5285.584885951431;10.0;0.023000000000000013;1000;10;0.0
5333.825221974465;10.0;0.024000000000000014;1000;10;0.0
5265.072981383696;10.0;0.025000000000000015;1000;10;0.0
5333.825221974465;10.0;0.026000000000000016;1000;10;0.0
5307.668890825958;10.0;0.027000000000000017;1000;10;0.0
5333.825221974465;10.0;0.028000000000000018;1000;10;0.0
5333.825221974465;10.0;0.02900000000000002;1000;10;0.0
5319.063438303833;10.0;0.03000000000000002;1000;10;0.0
5329.4236382266845;10.0;0.03100000000000002;1000;10;0.0
5333.825221974465;10.0;0.03200000000000002;1000;10;0.0
5333.825221974465;10.0;0.03300000000000002;1000;10;0.0
5300.794347471974;10.0;0.03400000000000002;1000;10;0.0
5266.534630743575;10.0;0.035000000000000024;1000;10;0.0
5333.825221974465;10.0;0.036000000000000025;1000;10;0.0
5333.825221974465;10.0;0.037000000000000026;1000;10;0.0
5232.573688725416;10.0;0.03800000000000003;1000;10;0.0
5333.825221974465;10.0;0.03900000000000003;1000;10;0.0
5333.825221974465;10.0;0.04000000000000003;1000;10;0.0
5321.94106270414;10.0;0.04100000000000003;1000;10;0.0
5333.825221974465;10.0;0.04200000000000003;1000;10;0.0
5333.825221974465;10.0;0.04300000000000003;1000;10;0.0
5333.825221974465;10.0;0.04400000000000003;1000;10;0.0
5282.2226308469;10.0;0.04500000000000003;1000;10;0.0
5287.976621579136;10.0;0.046000000000000034;1000;10;0.0
5330.022080215422;10.0;0.047000000000000035;1000;10;0.0
5333.825221974465;10.0;0.048000000000000036;1000;10;0.0
5333.825221974465;10.0;0.04900000000000004;1000;10;0.0
5333.825221974465;10.0;0.05000000000000004;1000;10;0.0
5333.825221974465;10.0;0.05100000000000004;1000;10;0.0
5333.825221974465;10.0;0.05200000000000004;1000;10;0.0
5333.654450273347;10.0;0.05300000000000004;1000;10;0.0
5333.825221974465;10.0;0.05400000000000004;1000;10;0.0
5291.977477181074;10.0;0.05500000000000004;1000;10;0.0
5333.307014276932;10.0;0.05600000000000004;1000;10;0.0
5303.212123938006;10.0;0.057000000000000044;1000;10;0.0
5333.825221974465;10.0;0.058000000000000045;1000;10;0.0
5333.825221974465;10.0;0.059000000000000045;1000;10;0.0
5298.159970392066;10.0;0.060000000000000046;1000;10;0.0
5333.825221974465;10.0;0.06100000000000005;1000;10;0.0
5291.687122619584;10.0;0.06200000000000005;1000;10;0.0
5285.2491113894175;10.0;0.06300000000000004;1000;10;0.0
5315.093659494644;10.0;0.06400000000000004;1000;10;0.0
